Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
281,04.12.2016,Berlin,BR,"Öffentliche Aufforderung zu Straftaten§ 111 StGB",X
282,04.12.2016,Rostock,MV,Körperverletzung § 223 StGB,X
283,04.12.2016,Dresden,SN,Gefährliche Körperverletzung § 224 StGB,X
284,05.12.2016,Berlin,BR,Beleidigung § 185 StGB,X
285,05.12.2016,Singen (Hohentwiel),BW,Volksverhetzung § 130 StGB,X
286,05.12.2016,Georgensgmünd,BY,Beleidigung § 185 StGB,X
287,05.12.2016,Georgensgmünd,BY,Beleidigung § 185 StGB,X
288,05.12.2016,Kelkheim (Taunus),HE,Volksverhetzung § 130 StGB,X
289,05.12.2016,Chemnitz,SN,Bedrohung § 241 StGB,X
290,06.12.2016,Hohenmölsen,AN,Gefährliche Körperverletzung § 224 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
291,06.12.2016,Berlin,BR,Beleidigung § 185 StGB,X
292,06.12.2016,Singen (Hohentwiel),BW,Volksverhetzung § 130 StGB,X
293,06.12.2016,Verden (Aller),NI,Diebstahl § 239a StGB,X
294,06.12.2016,Annaberg-Buchholz,SN,"Öffentliche Aufforderung zu Straftaten§ 111 StGB",X
295,07.12.2016,Fürstenwalde/Spree,BB,Volksverhetzung § 130 StGB,X
296,07.12.2016,Bad Freienwalde,BB,Gefährliche Körperverletzung § 224 StGB,X
297,07.12.2016,"Bayerbach bei Ergolds-bach",BY,Bedrohung § 241 StGB,X
298,08.12.2016,Dessau,AN,Sachbeschädigung § 303 StGB,X
299,08.12.2016,Lychen,BB,Beleidigung § 185 StGB,X
300,08.12.2016,Schwandorf,BY,Sachbeschädigung § 303 StGB,X
301,08.12.2016,Hardegsen,NI,Gefährliche Körperverletzung § 224 StGB,X
302,08.12.2016,Coppenbrügge,NI,"Öffentliche Aufforderung zu Straftaten§ 111 StGB",X
303,09.12.2016,Birkenwerder bei Berlin,BB,Brandstiftung § 306 StGB,X
304,09.12.2016,Wilhelmsfeld,BW,Beleidigung § 185 StGB,X
305,09.12.2016,Frankfurt am Main,HE,Bedrohung § 241 StGB,
306,09.12.2016,Lohne (Oldenburg),NI,Volksverhetzung § 130 StGB,X
307,09.12.2016,Düsseldorf,NW,Gefährliche Körperverletzung § 224 StGB,X
308,09.12.2016,Kellinghusen,SH,Körperverletzung § 223 StGB,X
309,09.12.2016,Sankt Michaelisdonn,SH,Volksverhetzung § 130 StGB,X
310,09.12.2016,Sankt Michaelisdonn,SH,Volksverhetzung § 130 StGB,X
311,10.12.2016,Weißenfels,AN,Gefährliche Körperverletzung § 224 StGB,X
312,11.12.2016,Berlin,BR,Gefährliche Körperverletzung § 224 StGB,X
313,11.12.2016,Tarmstedt,NI,Volksverhetzung § 130 StGB,X
314,11.12.2016,Kiel,SH,Körperverletzung § 223 StGB,X
315,11.12.2016,Sankt Michaelisdonn,SH,Sachbeschädigung § 303 StGB,X
316,11.12.2016,Sömmerda,TH,Gefährliche Körperverletzung § 224 StGB,X
317,12.12.2016,Bermatingen,BW,Volksverhetzung § 130 StGB,X
318,12.12.2016,Kötzting,BY,Volksverhetzung § 130 StGB,X
319,12.12.2016,Sankt Michaelisdonn,SH,Sachbeschädigung § 303 StGB,X
320,12.12.2016,Annaberg-Buchholz,SN,Volksverhetzung § 130 StGB,X
321,12.12.2016,Oschatz,SN,Beleidigung § 185 StGB,X
322,12.12.2016,Dresden,SN,Volksverhetzung § 130 StGB,X
323,12.12.2016,Bautzen,SN,"Verwenden von Kennzeichen verfassungs-widriger Organisationen § 86a StGB",X
324,12.12.2016,Erfurt,TH,Beleidigung § 185 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK-rechts"
325,12.12.2016,Erfurt,TH,Beleidigung § 185 StGB,X
326,13.12.2016,Magdeburg,AN,Beleidigung § 185 StGB,X
327,13.12.2016,Berlin,BR,Sachbeschädigung § 303 StGB,X
328,13.12.2016,Berlin,BR,"Öffentliche Aufforderung zu Straftaten§ 111 StGB",X
329,13.12.2016,Berlin,BR,Beleidigung § 185 StGB,X
330,13.12.2016,München,BY,Gefährliche Körperverletzung § 224 StGB,X
331,13.12.2016,Haltern,NW,Beleidigung § 185 StGB,X
332,13.12.2016,Sankt Michaelisdonn,SH,Sachbeschädigung § 303 StGB,X
333,13.12.2016,Sömmerda,TH,Verleumdung § 187 StGB,X
334,13.12.2016,Greußen,TH,Volksverhetzung § 130 StGB,X
335,13.12.2016,Erfurt,TH,Bedrohung § 241 StGB,X
