Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
316,31.01.2016,Freiburg im Breisgau,BW,Volksverhetzung § 130 StGB,X
317,31.01.2016,Illingen,BW,Volksverhetzung § 130 StGB,X
318,31.01.2016,Bamberg,BY,Volksverhetzung § 130 StGB,X
Nr.,Datum,Ort,Land,Deliktsart,"PMK­rechts"
319,31.01.2016,Neustadt (Hessen),HE,"Gemeinschädliche Sachbeschä­digung § 304 StGB",X
320,31.01.2016,Wermelskirchen,NW,Beleidigung § 185 StGB,X
321,31.01.2016,Neumünster,SH,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
322,31.01.2016,Sonneberg,TH,Volksverhetzung § 130 StGB,X
323,31.01.2016,Sonneberg,TH,Volksverhetzung § 130 StGB,X
324,01.02.2016,Berlin,BR,"Gefährliche Körperverletzung§ 224 StGB",X
325,01.02.2016,Berlin,BR,"Gefährliche Körperverletzung§ 224 StGB",X
326,01.02.2016,Reutlingen,BW,"Störung des öffentlichen Frie­dens durch Androhung vonStraftaten § 126 StGB",X
327,01.02.2016,Schnaittenbach,BY,"Verwenden v. Kennzeichen ver­fassungswidriger Org. § 86aStGB",X
328,01.02.2016,Norden,NI,Volksverhetzung § 130 StGB,X
329,01.02.2016,Hannover,NI,Beleidigung § 185 StGB,X
330,01.02.2016,Mainz,RP,Volksverhetzung § 130 StGB,X
331,01.02.2016,Kellinghusen,SH,Volksverhetzung § 130 StGB,X
332,02.02.2016,Osterburg/Altmark,ST,"Gefährliche Körperverletzung§ 224 StGB",X
333,02.02.2016,Cottbus,BB,"Gefährliche Körperverletzung§ 224 StGB",X
