key;name;kreis_type;year;crime;crime_noasyl;total_solved;noasyl_solved;hom;arson
12065;Oberhavel;LK;2016;13525;13494;52;51,9;3;143
12066;Oberspreewald-Lausitz;LK;2016;7153;7140;51,1;51;0;50
12067;Oder-Spree;LK;2016;11914;11502;53,2;51,9;3;81
12068;Ostprignitz-Ruppin;LK;2016;7476;7465;62,3;62,2;0;79
12069;Potsdam-Mittelmark;LK;2016;12637;12623;49,1;49;3;100
12070;Prignitz;LK;2016;4627;4613;59,2;59,1;5;39
12071;Spree-Neiße;LK;2016;8660;8613;45,3;45;1;59
12072;Teltow-Fläming;LK;2016;10860;10822;52,6;52,4;8;62
12073;Uckermark;LK;2016;8581;8518;58,6;58,3;4;74
13003;Rostock;KfS;2016;20824;20201;58,5;57,3;4;89
13004;Schwerin;KfS;2016;11757;11533;66,5;65,8;2;41
13071;Mecklenburgische Seenplatte;LK;2016;17017;16747;62,3;61,7;2;105
13072;Landkreis Rostock;LK;2016;11928;11909;63,7;63,7;4;99
13073;Vorpommern-Rügen;LK;2016;16136;16050;65,9;65,7;3;123
13074;Nordwestmecklenburg;LK;2016;10315;10173;58,5;58;4;111
13075;Vorpommern-Greifswald;LK;2016;16369;16227;54,7;54,3;5;112
13076;Ludwigslust-Parchim;LK;2016;17969;11945;73,4;60,3;1;76
14511;Chemnitz;KfS;2016;27236;23227;61,3;54,7;8;106
14521;Erzgebirgskreis;LK;2016;12736;12502;63;62,3;2;104
14522;Mittelsachsen;LK;2016;13656;13549;61,4;61,1;6;103
14523;Vogtlandkreis;LK;2016;14649;12882;65,1;60,4;4;82
14524;Zwickau;LK;2016;17546;17162;59,2;58,3;10;102
14612;Dresden;KfS;2016;58660;55920;55,8;53,7;13;161
14625;Bautzen;LK;2016;15456;15107;58,6;57,6;3;136
14626;Görlitz;LK;2016;21199;19006;62,3;58;5;87
14627;Meißen;LK;2016;12353;12241;57,3;56,9;5;67
14628;Sächsische Schweiz-Osterzgebirge;LK;2016;13398;10968;65,9;58,5;3;62
14713;Leipzig;KfS;2016;88615;82877;47,2;43,6;26;278
14729;Leipzig;LK;2016;15713;15303;53,2;51,9;7;127
14730;Nordsachsen;LK;2016;13452;13204;51,5;50,6;6;110
15001;Dessau-Roßlau;KfS;2016;9401;9360;54,8;54,6;4;58
15002;Halle (Saale);KfS;2016;31462;29934;48;45,3;3;74
15003;Magdeburg;KfS;2016;28354;27832;52,2;51,3;10;51
15081;Altmarkkreis Salzwedel;LK;2016;4909;4907;58,8;58,8;2;53
15082;Anhalt-Bitterfeld;LK;2016;13700;13677;53,3;53,3;6;72
15083;Börde;LK;2016;10242;10231;57,9;57,9;13;80
15084;Burgenlandkreis;LK;2016;13824;13808;58,1;58;4;87
15085;Harz;LK;2016;20669;14123;70,6;57;7;110
15086;Jerichower Land;LK;2016;6415;6407;61;61;1;52
15087;Mansfeld-Südharz;LK;2016;9898;9892;58,5;58,5;4;56
15088;Saalekreis;LK;2016;14747;14731;51,6;51,6;2;109
15089;Salzlandkreis;LK;2016;12874;12869;56,7;56,6;9;59
15090;Stendal;LK;2016;8052;7508;61,9;59,1;7;31
15091;Wittenberg;LK;2016;9540;9512;53,5;53,4;3;78
16051;Erfurt;KfS;2016;23885;23213;60,9;59,8;1;65
16052;Gera;KfS;2016;10332;10005;70,6;69,7;1;19
16053;Jena;KfS;2016;7901;7880;59,2;59,1;0;23
16054;Suhl;KfS;2016;3108;2555;72,3;66,3;0;10
16055;Weimar;KfS;2016;6770;6762;57,7;57,6;0;11
16056;Eisenach;KfS;2016;3846;3829;66,8;66,7;0;13
16061;Eichsfeld;LK;2016;4021;4013;65;64,9;1;23
16062;Nordhausen;LK;2016;5512;5481;66,3;66,1;4;27
16063;Wartburgkreis;LK;2016;4821;4817;66,8;66,8;6;40
16064;Unstrut-Hainich-Kreis;LK;2016;6550;6542;66,4;66,3;1;48
16065;Kyffhäuserkreis;LK;2016;5720;5715;63,3;63,2;1;53
16066;Schmalkalden-Meiningen;LK;2016;6832;6768;68,5;68,2;2;32
