key;name;year;for_pop;for_anwerber;for_EU28;for_EUeast;for_notEU;for_syria;for_afghan;for_iraq;ss_total;ss_anwerber;ss_syria;ss_afghan;ss_iraq;ss_total_accept;ss_anwerber_accept;ss_syria_accept;ss_afghan_accept;ss_iraq_accept;ss_total_denied;ss_anwerber_denied;ss_syria_denied;ss_afghan_denied;ss_iraq_denied;ss_total_duldung;ss_anwerber_duldung;ss_syria_duldung;ss_afghan_duldung;ss_iraq_duldung
05117;Mülheim an der Ruhr, Stadt  ;2013;20550;11105;6275;2960;14280;180;65;510;2265;1030;95;30;300;1770;765;65;15;270;310;210;10;0;20;225;155;0;0;15
05119;Oberhausen, Stadt  ;2013;26005;17550;7260;3280;18745;125;420;120;2145;1060;75;80;95;1685;870;65;65;75;240;135;5;5;15;220;125;0;5;15
05120;Remscheid, Stadt  ;2013;16195;13430;6660;1720;9540;65;15;20;820;470;40;10;10;560;345;35;5;10;150;90;5;0;5;90;40;5;0;5
05122;Solingen, Stadt  ;2013;21505;16035;10775;2490;10730;120;80;80;1190;400;90;55;60;790;260;65;45;30;180;100;0;0;15;165;95;0;0;15
05124;Wuppertal, Stadt  ;2013;56745;34875;24225;9215;32520;395;210;835;5425;2430;200;95;415;4400;1615;180;70;395;850;715;0;5;15;690;580;0;5;15
05154;Kleve  ;2013;36025;4975;28845;10380;7180;150;140;145;1995;910;95;85;95;1155;710;70;30;50;415;125;5;10;30;345;95;5;10;30
05158;Mettmann  ;2013;52455;33700;24130;8585;28325;185;165;220;3965;1840;130;120;155;2380;990;100;65;110;1070;760;5;10;35;945;675;5;10;30
05162;Rhein-Kreis Neuss  ;2013;49515;28325;21510;8560;28005;265;140;665;3575;1320;185;105;400;2470;885;140;50;350;640;350;10;5;30;515;310;0;5;30
05166;Viersen  ;2013;22690;10155;12760;4620;9935;125;115;125;1825;695;70;90;90;1035;490;55;45;55;340;125;5;10;20;295;90;5;10;20
05170;Wesel  ;2013;33375;20895;11120;5020;22255;195;115;330;3265;1575;135;95;225;2050;1095;115;30;165;710;375;5;15;50;615;305;5;15;50
053;Regierungsbezirk Köln ;2013;531650;284570;211600;80425;320050;3725;2940;7930;39805;13265;1910;1595;4710;28845;9495;1585;1095;4035;5705;2780;100;110;400;4650;2320;65;85;365
05314;Bonn, Stadt  ;2013;45355;16375;13995;5310;31360;1050;375;770;3800;715;470;160;410;2995;550;420;120;335;440;105;15;15;50;180;35;10;5;35
