key;wahlberechtigte;wähler_14;ungültige_14;gültige_14;cdu_14;spd_14;grüne_14;fdp_14;die linke_14;csu_14;freie wähler_14;rep_14;tierschutzpartei_14;familie_14;piraten_14;ödp_14;pbc_14;volksabstimmung_14;bp_14;cm_14;auf_14;dkp_14;büso_14;psg_14;afd_14;pro nrw_14;mlpd_14;npd_14;die partei_14
9673;64780;26640;135;26505;0;4541;2212;658;730;14151;988;125;197;118;251;316;51;71;181;25;110;11;10;9;1370;8;15;225;132
9674;68335;29204;119;29085;0;6328;2047;675;800;14100;1264;161;255;114;271;688;31;79;223;36;90;10;6;10;1396;22;12;361;106
9675;69555;30027;124;29903;0;5485;2696;733;699;14454;1872;149;277;101;301;591;68;67;275;34;44;14;2;8;1688;9;5;233;98
9676;96324;37507;222;37285;0;8254;3504;1176;848;16282;1986;163;412;153;357;694;34;106;239;68;101;11;4;14;2355;17;10;318;179
9677;101181;42611;201;42410;0;8841;4120;932;905;18912;2446;259;505;145;507;447;55;124;236;42;81;21;14;11;3342;13;21;277;154
9678;91692;40853;209;40644;0;8001;3402;938;1290;19938;1508;366;325;194;376;503;66;92;267;60;111;6;16;8;2708;18;13;297;141
9679;127059;60414;250;60164;0;13624;7500;1659;1464;25210;2028;536;591;219;831;1020;88;124;296;66;119;21;20;18;4124;23;12;291;280
9761;188472;68429;267;68162;0;14001;10932;1870;3395;23674;1172;269;762;177;1306;1401;108;94;515;68;260;53;27;10;7078;32;63;353;542
9762;31430;11037;40;10997;0;1935;1435;375;414;4382;446;35;116;36;139;208;16;25;172;11;64;4;0;3;1076;4;0;63;38
9763;48210;17296;65;17231;0;3323;2266;639;601;6022;1215;138;175;56;205;318;31;37;84;27;69;7;4;2;1865;3;11;62;71
9764;29910;11160;54;11106;0;2127;1133;404;340;4067;407;43;105;31;96;739;47;28;67;25;47;2;4;5;1231;1;3;114;40
9771;98943;40818;130;40688;0;6502;4026;1020;716;18703;1585;396;441;152;363;1385;61;68;646;68;165;10;5;0;4032;16;9;162;157
9772;185425;74330;313;74017;0;11817;7765;1882;1746;33249;4065;413;747;219;661;1589;97;147;835;103;241;16;22;14;7764;26;16;304;279
9773;72224;26453;103;26350;0;3751;2082;697;481;12758;1923;766;301;90;189;334;39;69;352;39;71;10;8;6;2060;12;6;233;73
9774;89371;31431;117;31314;0;4581;2561;760;685;14918;1762;241;370;143;259;570;45;115;376;70;113;10;7;6;3264;8;6;325;119
